TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,3634,81,81,29,39.2,31,27,6.6,30
2.02E+13,3634,81,81,29,39.2,31,26,6.4,29
2.02E+13,3614,81,81,28,18.9,23,26,7.6,31
2.02E+13,3542,81,81,28,18.69,23,13,6.4,28
2.02E+13,3542,79,81,28,18.69,23,14,6.4,30
2.02E+13,3475,79,81,28,19.32,24,17,7.8,31
2.02E+13,3443,78,81,28,64.12,24,17,7.9,29
2.02E+13,3443,76,81,28,64.12,41,55,7.6,28
2.02E+13,3528,76,81,28,83.79,45,58,7.1,30
2.02E+13,3646,78,81,26,70.49,38,58,6,30
2.02E+13,3646,81,81,25,70.49,38,33,7.4,28
2.02E+13,3661,81,81,25,38.15,30,24,6,30
2.02E+13,3622,82,81,27,35.42,29,24,7,31
2.02E+13,3622,81,81,28,35.42,29,24,7.7,30
2.02E+13,3602,81,81,28,39.62,31,28,7.3,31
2.02E+13,3593,80,81,28,40.32,31,28,7.4,29
2.02E+13,3593,80,81,28,40.32,31,28,6.7,31
2.02E+13,3589,80,81,28,39.9,31,27,6.1,30
2.02E+13,3573,80,81,28,39.9,31,27,6.2,31
2.02E+13,3573,80,81,28,39.9,31,27,7.8,28
2.02E+13,3577,80,81,28,36.47,31,27,8,28
2.02E+13,3579,80,81,28,35.98,31,25,7.6,31
2.02E+13,3579,80,81,28,35.98,30,24,6.9,29
2.02E+13,3586,80,81,28,34.79,29,24,7.8,30
2.02E+13,3585,80,81,28,34.79,29,24,7.7,29
2.02E+13,3585,80,81,28,30.59,27,19,6.6,28
2.02E+13,3565,80,81,28,26.74,26,19,6.8,29
2.02E+13,3546,80,81,28,26.74,26,18,6.1,30
2.02E+13,3546,80,81,28,26.11,26,18,6.4,30
2.02E+13,3524,79,81,28,26.88,29,18,6.1,28
2.02E+13,3531,79,81,28,26.88,29,23,6.4,29
2.02E+13,3531,79,81,28,32.2,29,23,6.9,28
2.02E+13,3538,79,81,28,32.41,29,23,7.6,30
2.02E+13,3538,79,81,28,32.41,29,22,6,31
2.02E+13,3538,79,81,28,32.69,29,23,6,30
2.02E+13,3533,79,81,28,32.9,29,23,7,28
2.02E+13,3509,79,81,28,32.9,29,23,7.6,29
2.02E+13,3509,79,81,28,32.27,29,23,7.8,29
2.02E+13,3494,78,81,28,32.27,29,23,7.7,29
2.02E+13,3494,78,81,28,32.27,29,22,7,30
2.02E+13,3474,78,81,28,31.64,29,22,7.7,28
2.02E+13,3476,78,81,28,31.08,29,23,7.2,29
2.02E+13,3476,78,81,28,31.08,29,22,6,30
2.02E+13,3465,78,81,28,33.18,29,22,7.4,28
2.02E+13,3462,78,81,28,34.16,29,24,6,29
2.02E+13,3462,77,82,28,34.16,29,24,6.9,29
2.02E+13,3447,77,82,28,32.9,29,24,6.9,28
2.02E+13,3445,77,82,28,33.53,29,25,7.9,30
2.02E+13,3445,76,82,28,33.53,29,24,7.6,30
2.02E+13,3448,76,81,28,31.64,29,24,8,28
2.02E+13,3458,77,81,28,31.64,29,23,6.8,31
2.02E+13,3458,77,81,28,31.78,29,23,6.1,29
2.02E+13,3462,77,81,28,32.9,30,23,6,31
2.02E+13,3452,77,82,28,32.9,30,26,6.4,28
2.02E+13,3452,77,82,28,37.24,31,27,6.9,30
2.02E+13,3448,77,82,28,38.99,31,27,7.7,30
2.02E+13,3448,77,82,28,38.99,31,29,6.3,31
2.02E+13,3439,77,81,28,41.09,32,29,7.9,30
2.02E+13,3424,76,81,28,40.32,32,30,7.9,30
2.02E+13,3424,76,82,28,40.32,32,30,7.5,28
2.02E+13,3421,76,82,28,40.46,32,30,6.1,28
2.02E+13,3420,76,82,27,40.46,32,30,6.5,31
2.02E+13,3420,76,82,27,40.95,31,27,8,30
2.02E+13,3416,76,82,27,36.75,31,27,6.9,28
2.02E+13,3416,76,82,27,36.75,29,25,6.2,30
2.02E+13,3403,76,82,27,34.02,29,25,7,31
2.02E+13,3405,76,82,27,34.02,29,25,6.1,29
2.02E+13,3405,76,82,27,34.58,29,26,6.2,29
2.02E+13,3406,76,82,27,38.43,31,26,6.3,28
2.02E+13,3406,76,82,27,38.43,31,29,6.7,30
2.02E+13,3442,76,82,27,41.23,32,30,6.6,30
2.02E+13,3500,77,82,27,42.28,32,30,6.8,28
2.02E+13,3500,78,82,27,42.28,32,29,6.1,30
2.02E+13,3563,78,82,27,38.99,31,29,7.4,31
2.02E+13,3620,80,82,27,38.99,31,27,7.5,31
2.02E+13,3620,80,82,27,39.34,31,27,7.1,31
2.02E+13,3665,81,82,28,39.62,31,27,6.6,28
2.02E+13,3665,82,82,28,39.62,31,27,6.4,29
2.02E+13,3686,82,82,28,39.41,31,27,6.9,31
2.02E+13,3696,82,82,28,41.37,31,27,6.1,29
2.02E+13,3696,83,82,28,41.37,31,27,6.7,30
2.02E+13,3706,83,82,28,41.37,31,27,6.6,31
2.02E+13,3709,83,82,28,36.26,31,26,8,29
2.02E+13,3709,83,82,28,36.26,29,23,6.1,28
2.02E+13,3686,83,82,28,35.42,29,23,6.3,30
2.02E+13,3670,82,82,28,35.42,29,24,6.9,30
2.02E+13,3670,82,82,28,35.14,29,25,7.2,29
2.02E+13,3663,82,82,28,38.15,30,25,7.9,29
2.02E+13,3647,81,82,28,38.15,30,26,7.8,29
2.02E+13,3647,81,82,28,38.64,30,26,7.8,28
2.02E+13,3643,81,82,28,36.47,30,26,6.4,28
2.02E+13,3635,81,82,28,36.47,30,25,7.7,30
2.02E+13,3635,81,82,28,36.75,30,25,6,31
2.02E+13,3621,81,82,28,36.75,30,25,7.1,28
2.02E+13,3614,81,83,28,36.75,30,25,6.7,28
2.02E+13,3614,81,83,28,36.75,30,25,7,31
2.02E+13,3617,81,83,28,36.68,30,25,6.1,29
2.02E+13,3610,81,83,28,36.68,30,25,8,30
